OBJECTID,COD_SIG,COD_VIA,COD_CICLOVIA,DESIGNACAO,NOME_PROJETO,HIERARQUIA,EIXO,TIPOLOGIA,NIVEL_SEGREGACAO,TIPO_INTERVENCAO,SITUACAO,ANO,ENTIDADE_RESPONSAVEL,FREGUESIA,COMP_M,COMP_KM,IDTIPO,ZONAMENTO,GlobalID,Shape__Length
129927,0000456,67183,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Circular Exterior,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Benfica,16.61,0.01661403,9196,,211d7a4f-695f-47ab-ba31-7e0649cc42eb,21.3192159338783
129928,0000567,67183,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Circular Exterior,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Benfica,23.58,0.02358311,9196,,0e53eed9-f618-4147-b70f-e7bf15f26444,30.3155100758196
129929,0000584,67183,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Circular Exterior,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Benfica,20.48,0.02047615,9196,,44f6bd74-4e4d-419c-b9d3-a0c904ae2b4e,26.3057344746391
129930,0000585,67183,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Circular Exterior,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Carnide,3.31,0.00330929,9196,,8b38253c-05bc-4e68-b705-2e29688a2fb1,4.24542469465726
129931,0000224,67183,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Circular Exterior,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Carnide,12.51,0.01250833,9196,,38ca5b8d-3120-4cfa-8281-6257e636ce83,16.0596719872636
129932,0000664,67183,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Circular Exterior,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Carnide,7.04,0.00703883,9196,,3ccebaa1-09cf-476d-938a-62574bcdff24,9.04827757765676
129933,0000665,67183,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Circular Exterior,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Carnide,23.78,0.0237845,9196,,3a8c6fc0-6bb7-43c3-a561-1efcbb4333a8,30.5508514114254
129934,0000666,67183,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Circular Exterior,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,Sem dados,CML,Carnide,13.82,0.01382306,9196,,152ddbf9-95ca-47d0-a51c-f2aedd4fa6bc,17.7689811205139
129935,0000667,67183,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Circular Exterior,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,Sem dados,CML,Carnide,2.85,0.00285121,9196,,30867e46-ec02-4a84-b9b0-60049e383102,3.65116707688484
129936,0000668,67183,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Alcântara - Pontinha,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,Sem dados,CML,Carnide,7.74,0.00774313,9196,,5b4286cc-dd1f-4e73-8093-cb16bf827aed,9.91559491616027
129937,0000669,67183,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Alcântara - Pontinha,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2021,EMEL,Carnide,38.54,0.03853606,9196,,203ac1df-1692-4866-ae9d-2f533c4d6b19,49.4192420329523
129938,0000138,67183,0093,Avenida Marechal Teixeira Rebelo,Avenida Marechal Teixeira Rebelo,Principal,Alcântara - Pontinha,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,Sem dados,CML,Carnide,31.91,0.03191207,9196,,87282beb-4179-4459-8d51-dfbf626a7056,40.9453657232713
